nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
      3653, 5.809871981E-03, 2.884613223E-03, 1.861671568E-02, 9.998096056E+06
      3654, 5.773498242E-03, 2.957441528E-03, 1.861671203E-02, 9.998106053E+06
      3655, 5.735600481E-03, 3.029488880E-03, 1.861671414E-02, 9.998118701E+06
      3656, 5.697507113E-03, 3.101433383E-03, 1.861671223E-02, 9.998131517E+06
      3657, 5.657724504E-03, 3.172458140E-03, 1.861671254E-02, 9.998141246E+06
      3658, 5.617937104E-03, 3.243480716E-03, 1.861671262E-02, 9.998145602E+06
      3659, 5.576593895E-03, 3.312995757E-03, 1.861671255E-02, 9.998143273E+06
      3660, 5.535246143E-03, 3.382507577E-03, 1.861671225E-02, 9.998135050E+06
      3661, 5.492293232E-03, 3.451038732E-03, 1.861671418E-02, 9.998122929E+06
      3662, 5.449130519E-03, 3.519437567E-03, 1.861671217E-02, 9.998109822E+06
      3663, 5.404585488E-03, 3.586943931E-03, 1.861671579E-02, 9.998098572E+06
      3664, 5.359638902E-03, 3.654183295E-03, 1.861671216E-02, 9.998091664E+06
      3665, 5.313524677E-03, 3.720626962E-03, 1.861671738E-02, 9.998090203E+06
      3666, 5.211763080E-03, 3.861907284E-03, 1.861671786E-02, 9.998099034E+06
      3667, 5.106244419E-03, 4.000405056E-03, 1.861671786E-02, 9.998114114E+06
      3668, 4.997045132E-03, 4.136020374E-03, 1.861671745E-02, 9.998126726E+06
      3669, 4.884243624E-03, 4.268654882E-03, 1.861671672E-02, 9.998128520E+06
      3670, 4.768047317E-03, 4.398323491E-03, 1.861670988E-02, 9.998115883E+06
      3671, 4.648370537E-03, 4.524785817E-03, 1.861671218E-02, 9.998094748E+06
      3672, 4.524745071E-03, 4.647393381E-03, 1.861671336E-02, 9.998072761E+06
      3673, 4.398408001E-03, 4.767210953E-03, 1.861672598E-02, 9.998058904E+06
      3674, 4.269305728E-03, 4.884048340E-03, 1.861672065E-02, 9.998055623E+06
      3675, 4.136273398E-03, 4.996386292E-03, 1.861671107E-02, 9.998063245E+06
      3676, 4.000584486E-03, 5.105500681E-03, 1.861672306E-02, 9.998077266E+06
      3677, 3.862588557E-03, 5.211694298E-03, 1.861673100E-02, 9.998095334E+06
      3678, 3.720944125E-03, 5.312967086E-03, 1.861671039E-02, 9.998111414E+06
      3679, 3.654655670E-03, 5.359443267E-03, 1.861672666E-02, 9.998118938E+06
      3680, 3.587004468E-03, 5.403911718E-03, 1.861671926E-02, 9.998124614E+06
      3681, 3.519356630E-03, 5.448377957E-03, 1.861671186E-02, 9.998128925E+06
      3682, 3.451509792E-03, 5.492547220E-03, 1.861671944E-02, 9.998131805E+06
      3683, 3.382173813E-03, 5.534339897E-03, 1.861671521E-02, 9.998133590E+06
      3684, 3.312841097E-03, 5.576130608E-03, 1.861671099E-02, 9.998134525E+06
      3685, 3.243508407E-03, 5.617921363E-03, 1.861670750E-02, 9.998134716E+06
      3686, 6.478198540E-03, 1.511801308E-12, 1.880795465E-02, 9.998054715E+06
      3687, 6.476684434E-03, 8.033981947E-05, 1.880795803E-02, 9.998054485E+06
      3688, 6.475170336E-03, 1.606796377E-04, 1.880796223E-02, 9.998053378E+06
      3689, 6.473656151E-03, 2.410231900E-04, 1.880796644E-02, 9.998051667E+06
      3690, 6.469419220E-03, 3.212693750E-04, 1.880795875E-02, 9.998049154E+06
      3691, 6.464769032E-03, 4.014888067E-04, 1.880796612E-02, 9.998045153E+06
      3692, 6.460118628E-03, 4.817119634E-04, 1.880797350E-02, 9.998039708E+06
      3693, 6.453184449E-03, 5.617705009E-04, 1.880795703E-02, 9.998032750E+06
      3694, 6.436341305E-03, 7.348155094E-04, 1.880797835E-02, 9.998017104E+06
      3695, 6.413527611E-03, 9.071768053E-04, 1.880796967E-02, 9.998000524E+06
      3696, 6.387051171E-03, 1.079006115E-03, 1.880795756E-02, 9.997988448E+06
      3697, 6.356394294E-03, 1.250140108E-03, 1.880797040E-02, 9.997982590E+06
      3698, 6.319884093E-03, 1.420124244E-03, 1.880797254E-02, 9.997988683E+06
      3699, 6.279484855E-03, 1.589222065E-03, 1.880795985E-02, 9.998007446E+06
      3700, 6.235250378E-03, 1.757354210E-03, 1.880796192E-02, 9.998035045E+06
      3701, 6.185746434E-03, 1.924009097E-03, 1.880795637E-02, 9.998060998E+06
      3702, 6.131709058E-03, 2.089249360E-03, 1.880796329E-02, 9.998074663E+06
      3703, 6.073423570E-03, 2.253041177E-03, 1.880796408E-02, 9.998070105E+06
      3704, 6.010761742E-03, 2.415208879E-03, 1.880796454E-02, 9.998055066E+06
      3705, 5.943769603E-03, 2.575635659E-03, 1.880796461E-02, 9.998036606E+06
      3706, 5.872494951E-03, 2.734205403E-03, 1.880796418E-02, 9.998023047E+06
      3707, 5.837912991E-03, 2.807779962E-03, 1.880795904E-02, 9.998020529E+06
      3708, 5.801970360E-03, 2.880699770E-03, 1.880796274E-02, 9.998024181E+06
      3709, 5.765649926E-03, 2.953432497E-03, 1.880795930E-02, 9.998032862E+06
      3710, 5.727798422E-03, 3.025380643E-03, 1.880796120E-02, 9.998044431E+06
      3711, 5.689759264E-03, 3.097230131E-03, 1.880795945E-02, 9.998056385E+06
      3712, 5.650026796E-03, 3.168157647E-03, 1.880795960E-02, 9.998065746E+06
      3713, 5.610292857E-03, 3.239084791E-03, 1.880795968E-02, 9.998070038E+06
      3714, 5.569007162E-03, 3.308502363E-03, 1.880795960E-02, 9.998067587E+06
      3715, 5.527720466E-03, 3.377918873E-03, 1.880795947E-02, 9.998059432E+06
      3716, 5.484824257E-03, 3.446352060E-03, 1.880796124E-02, 9.998047860E+06
      3717, 5.441724733E-03, 3.514656987E-03, 1.880795935E-02, 9.998035715E+06
      3718, 5.397239205E-03, 3.582067077E-03, 1.880796285E-02, 9.998025810E+06
      3719, 5.352355516E-03, 3.649212351E-03, 1.880795917E-02, 9.998020311E+06
      3720, 5.306305937E-03, 3.715563143E-03, 1.880796443E-02, 9.998021481E+06
      3721, 5.204681165E-03, 3.856653750E-03, 1.880796493E-02, 9.998036014E+06
      3722, 5.099304311E-03, 3.994965500E-03, 1.880796493E-02, 9.998056180E+06
      3723, 4.990251745E-03, 4.130398648E-03, 1.880796453E-02, 9.998073033E+06
      3724, 4.877601696E-03, 4.262854906E-03, 1.880796379E-02, 9.998078159E+06
      3725, 4.761561423E-03, 4.392349262E-03, 1.880795690E-02, 9.998064691E+06
      3726, 4.642045247E-03, 4.518641538E-03, 1.880795923E-02, 9.998038656E+06
      3727, 4.518585725E-03, 4.641084255E-03, 1.880796041E-02, 9.998010713E+06
      3728, 4.392418004E-03, 4.760740456E-03, 1.880797311E-02, 9.997990975E+06
