nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
      5591, 2.256777307E-04, 1.703192556E-04, 2.930789746E-02, 1.007405145E+07
      5592, 2.026035023E-04, 1.744896741E-04, 2.930805898E-02, 1.007532463E+07
      5593, 2.033475555E-04, 1.807522439E-04, 2.930794161E-02, 1.007491296E+07
      5594, 1.892136601E-04, 1.886345225E-04, 2.930794713E-02, 1.007533088E+07
      5595, 1.879367251E-04, 1.823017063E-04, 2.930807116E-02, 1.007578337E+07
      5596, 1.740664945E-04, 1.902538855E-04, 2.930807277E-02, 1.007608404E+07
      5597, 1.758557085E-04, 1.966539518E-04, 2.930795601E-02, 1.007558813E+07
      5598, 1.775806665E-04, 2.027855856E-04, 2.930787157E-02, 1.007509876E+07
      5599, 1.658995236E-04, 2.112798181E-04, 2.930796552E-02, 1.007512120E+07
      5600, 1.611725273E-04, 2.309025717E-04, 2.930784889E-02, 1.007412127E+07
      5601, 1.484546907E-04, 2.329999334E-04, 2.930801951E-02, 1.007459110E+07
      5602, 1.463186802E-04, 2.534313884E-04, 2.930790436E-02, 1.007316359E+07
      5603, 2.712224961E-04, 7.600203761E-14, 2.930828707E-02, 1.007506712E+07
      5604, 2.610139523E-04, 2.350358130E-05, 2.930828720E-02, 1.007565830E+07
      5605, 2.595765127E-04, 3.659770555E-05, 2.930827209E-02, 1.007576022E+07
      5606, 2.590727303E-04, 5.059200897E-05, 2.930823965E-02, 1.007558872E+07
      5607, 2.590784768E-04, 6.553417747E-05, 2.930819644E-02, 1.007534180E+07
      5608, 2.595962537E-04, 8.116519142E-05, 2.930814317E-02, 1.007494911E+07
      5609, 2.499200864E-04, 1.044216354E-04, 2.930822866E-02, 1.007511978E+07
      5610, 2.509524537E-04, 1.114424626E-04, 2.930818170E-02, 1.007479223E+07
      5611, 2.513437326E-04, 1.174507540E-04, 2.930813926E-02, 1.007455720E+07
      5612, 2.520267609E-04, 1.240034785E-04, 2.930808771E-02, 1.007425680E+07
      5613, 2.463035041E-04, 1.270187358E-04, 2.930818792E-02, 1.007457713E+07
      5614, 2.469024264E-04, 1.335276793E-04, 2.930813835E-02, 1.007427741E+07
      5615, 2.357670024E-04, 1.458212759E-04, 2.930822441E-02, 1.007456822E+07
      5616, 2.362115980E-04, 1.522074553E-04, 2.930810791E-02, 1.007423637E+07
      5617, 2.184299559E-04, 1.605617395E-04, 2.930814225E-02, 1.007508021E+07
      5618, 2.186787010E-04, 1.667527735E-04, 2.930803117E-02, 1.007473856E+07
      5619, 2.189274523E-04, 1.729438180E-04, 2.930792008E-02, 1.007438569E+07
      5620, 2.018579480E-04, 1.682288831E-04, 2.930817634E-02, 1.007571731E+07
      5621, 2.026035023E-04, 1.744896741E-04, 2.930805898E-02, 1.007532463E+07
      5622, 1.866609018E-04, 1.759696982E-04, 2.930819516E-02, 1.007622335E+07
      5623, 1.722779498E-04, 1.838516850E-04, 2.930820322E-02, 1.007655617E+07
      5624, 1.589270329E-04, 1.918772382E-04, 2.930825544E-02, 1.007679877E+07
      5625, 1.612303215E-04, 1.983465510E-04, 2.930815910E-02, 1.007627936E+07
      5626, 1.634917630E-04, 2.046716011E-04, 2.930806476E-02, 1.007576003E+07
      5627, 1.523175449E-04, 2.131163098E-04, 2.930815159E-02, 1.007565141E+07
      5628, 2.555260574E-04, 1.174960635E-05, 2.930840767E-02, 1.007616239E+07
      5629, 2.538440097E-04, 2.436850697E-05, 2.930839778E-02, 1.007630269E+07
      5630, 2.529421812E-04, 3.792594567E-05, 2.930837288E-02, 1.007627241E+07
      5631, 2.526251405E-04, 5.240849748E-05, 2.930833609E-02, 1.007607399E+07
      5632, 2.529445582E-04, 6.780138832E-05, 2.930828663E-02, 1.007578245E+07
      5633, 2.537886383E-04, 8.390017221E-05, 2.930822687E-02, 1.007534900E+07
      5634, 2.479795439E-04, 8.663435377E-05, 2.930831059E-02, 1.007573006E+07
      5635, 2.421806555E-04, 8.937392975E-05, 2.930839414E-02, 1.007609742E+07
      5636, 2.444207991E-04, 1.075921718E-04, 2.930830624E-02, 1.007543326E+07
      5637, 2.400478727E-04, 1.236017815E-04, 2.930832900E-02, 1.007516374E+07
      5638, 2.405849748E-04, 1.300332833E-04, 2.930828804E-02, 1.007487612E+07
      5639, 2.411114746E-04, 1.364828413E-04, 2.930824030E-02, 1.007458644E+07
      5640, 2.416306225E-04, 1.429287432E-04, 2.930813476E-02, 1.007428214E+07
      5641, 2.295235138E-04, 1.423853022E-04, 2.930834815E-02, 1.007515245E+07
      5642, 2.243218564E-04, 1.452719110E-04, 2.930835043E-02, 1.007538576E+07
      5643, 2.298983572E-04, 1.487092343E-04, 2.930823345E-02, 1.007484858E+07
      5644, 2.246603644E-04, 1.515325387E-04, 2.930823721E-02, 1.007507650E+07
      5645, 2.302717935E-04, 1.550341005E-04, 2.930811875E-02, 1.007452028E+07
      5646, 2.249988308E-04, 1.577937603E-04, 2.930812399E-02, 1.007474747E+07
      5647, 1.704906892E-04, 1.774503042E-04, 2.930833364E-02, 1.007701991E+07
      5648, 1.566239773E-04, 1.854057440E-04, 2.930835180E-02, 1.007729263E+07
      5649, 1.589270329E-04, 1.918772382E-04, 2.930825544E-02, 1.007679877E+07
      5650, 2.480917952E-04, 1.217045116E-05, 2.930852369E-02, 1.007683153E+07
